Sistema;Status do Processo;Data Última Distribuição;Assunto Código;Data Primeira Distribuição;Classe Judicial;Órgão Julgador;Parte Polo Ativo?;Parte Polo Passivo?;Parte Outros Participantes?;Data Trânsito Julgado;Tempo em Anos
PJe;D;42.969.462.120.486;5571.0;42.968.599.001.736;283;2ª Vara Federal;S;N;N;13/01/2020;2.0
PJe;D;42.926.701.227.662;3432.0;42.926.701.227.662;283;14ª Vara Federal;S;N;N;25/09/2019;2.0
PJe;D;43.053.375.022.454;3539.0;43.053.375.022.454;283;9ª Vara Federal;S;N;N;23/04/2018;0.0
PJe;D;43.502.733.639.676;7792.0;43.742.533.203.368;386;15ª Vara Federal;S;N;N;10/12/2018;3.0
PJe;D;425.737.125;3432.0;;283;14ª Vara Federal;S;N;N;15/05/2020;2.0
PJe;D;43.200.595.288.958;7787.0;43.166.670.280.359;386;14ª Vara Federal;S;N;N;28/09/2017;1.0
PJe;D;43.125.655.311.053;5566.0;43.844.362.003.229;283;11ª Vara Federal;S;N;N;23/09/2019;9.0
PJe;D;42.558.559.027.778;5566.0;;283;15ª Vara Federal;S;N;N;20/03/2018;4.0
PJe;D;42.531.713.888.889;5566.0;;283;14ª Vara Federal;S;N;N;27/02/2020;9.0
PJe;D;42.194.729.166.667;3548.0;09/07/2015 17:30;283;14ª Vara Federal;S;N;N;01/08/2018;2.0
PJe;D;42.499.746.527.778;3615.0;09/05/2016 17:55;283;11ª Vara Federal;S;N;N;26/08/2019;1.0
PJe;D;41.695.422.222.222.000;3431.0;25/02/2014 10:08;283;12ª Vara Federal;S;N;N;28/01/2019;1.0
PJe;D;39.269.521.527.778;3614.0;06/07/2007 12:31;283;2ª Vara Federal;S;N;N;07/05/2019;2.0
PJe;D;42.703.577.071.505;3568.0;42.691.571.370.787;283;2ª Vara Federal;S;N;N;27/04/2018;3.0
PJe;D;41.877.715.972.222;10637.0;26/08/2014 17:11;283;8ª Vara Federal;S;N;N;18/05/2018;5.0
PJe;D;41.877.715.972.222;10637.0;26/08/2014 17:11;386;8ª Vara Federal;S;N;N;18/05/2018;5.0
PJe;D;43.241.669.286.412.000;3432.0;43.241.669.286.412;283;11ª Vara Federal;S;N;N;27/02/2020;3.0
PJe;D;42.844.518.506.123;3574.0;42.844.518.506.123;283;12ª Vara Federal;S;N;N;12/12/2018;2.0
PJe;D;42.612.454.861.111;3604.0;05/08/2015 17:12;283;15ª Vara Federal;S;N;N;26/09/2017;3.0
PJe;D;42.612.454.861.111;5874.0;05/08/2015 17:12;283;15ª Vara Federal;S;N;N;26/09/2017;3.0
PJe;D;42.312.727.083.333;3432.0;04/11/2015 17:27;283;14ª Vara Federal;S;N;N;04/02/2020;3.0
PJe;D;42.149.654.166.667;3572.0;25/05/2015 15:42;283;11ª Vara Federal;S;N;N;14/01/2019;1.0
PJe;D;41.977.664.583.333;3550.0;04/12/2014 15:57;283;9ª Vara Federal;S;N;N;11/11/2019;4.0
PJe;D;41.977.664.583.333;3548.0;04/12/2014 15:57;283;9ª Vara Federal;S;N;N;11/11/2019;4.0
PJe;D;42.969.462.120.486;3542.0;42.968.599.001.736;283;14ª Vara Federal;S;N;N;13/01/2020;2.0
PJe;D;4.218.584.375;3548.0;30/06/2015 20:15;1033;12ª Vara Federal;S;N;N;03/03/2020;4.0
PJe;D;425.527.625;5566.0;01/07/2016 18:18;283;14ª Vara Federal;S;N;N;02/04/2018;6.0
PJe;D;42.830.789.446.447;5566.0;42.632.370.997.951;283;14ª Vara Federal;S;N;N;26/11/2018;13.0
PJe;D;42509.75;3431.0;19/05/2016 18:00;283;14ª Vara Federal;S;N;N;02/08/2019;4.0
PJe;D;42509.75;3431.0;19/05/2016 18:00;283;14ª Vara Federal;S;N;N;02/08/2019;4.0
PJe;D;42509.75;3432.0;19/05/2016 18:00;283;14ª Vara Federal;S;N;N;02/08/2019;4.0
PJe;D;42509.75;3432.0;19/05/2016 18:00;283;14ª Vara Federal;S;N;N;02/08/2019;4.0
PJe;D;4.250.075.625;3604.0;10/05/2016 18:09;283;14ª Vara Federal;S;N;N;10/01/2019;3.0
PJe;D;41.382.618.055.556;3536.0;;283;11ª Vara Federal;S;N;N;15/10/2019;2.0
PJe;D;424.437.125;3604.0;14/03/2016 17:06;283;2ª Vara Federal;S;N;N;28/02/2020;3.0
PJe;D;424.437.125;3604.0;14/03/2016 17:06;283;2ª Vara Federal;S;N;N;28/02/2020;3.0
PJe;D;424.437.125;3642.0;14/03/2016 17:06;283;2ª Vara Federal;S;N;N;28/02/2020;3.0
PJe;D;424.437.125;3642.0;14/03/2016 17:06;283;2ª Vara Federal;S;N;N;28/02/2020;3.0
PJe;D;42.979.674.672.685;5566.0;42.979.674.672.685;283;15ª Vara Federal;S;N;N;11/01/2019;13.0
PJe;D;43.321.458.988.299;10851.0;43.269.485.226.794;283;2ª Vara Federal;S;N;N;09/04/2019;2.0
PJe;D;4.252.874.375;5566.0;07/06/2016 17:51;283;9ª Vara Federal;S;N;N;07/08/2018;10.0
PJe;D;42.956.710.816.979;5566.0;42.956.710.816.979;283;12ª Vara Federal;S;N;N;12/11/2018;3.0
PJe;D;42.530.723.611.111;3614.0;09/06/2016 17:22;283;2ª Vara Federal;S;N;N;29/01/2019;2.0
